PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,NameLen
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,27
450,1,1,"Peuchen, Major. Arthur Godfrey",male,52.0,0,0,113786,30.5,C104,30
493,0,1,"Molson, Mr. Harry Markland",male,55.0,0,0,113787,30.5,C30,26
608,1,1,"Daniel, Mr. Robert Williams",male,27.0,0,0,113804,30.5,,27
631,1,1,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,0,0,27042,30.0,A23,36
783,0,1,"Long, Mr. Milton Clyde",male,29.0,0,0,113501,30.0,D6,22
332,0,1,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,C124,19
361,0,3,"Skoog, Mr. Wilhelm",male,40.0,1,4,347088,27.9,,18
451,0,2,"West, Mr. Edwy Arthur",male,36.0,1,2,C.A. 34651,27.75,,21
218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1,0,243847,27.0,,28
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,26.55,,45
253,0,1,"Stead, Mr. William Thomas",male,62.0,0,0,113514,26.55,C87,25
431,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,110564,26.55,C52,41
448,1,1,"Seward, Mr. Frederic Kimber",male,34.0,0,0,113794,26.55,,27
457,0,1,"Millet, Mr. Francis Davis",male,65.0,0,0,13509,26.55,E38,25
461,1,1,"Anderson, Mr. Harry",male,48.0,0,0,19952,26.55,E12,19
468,0,1,"Smart, Mr. John Montgomery",male,56.0,0,0,113792,26.55,,26
537,0,1,"Butt, Major. Archibald Willingham",male,45.0,0,0,113050,26.55,B38,33
556,0,1,"Wright, Mr. George",male,62.0,0,0,113807,26.55,,18
695,0,1,"Weir, Col. John",male,60.0,0,0,113800,26.55,,15
858,1,1,"Daly, Mr. Peter Denis ",male,51.0,0,0,113055,26.55,E17,22
573,1,1,"Flynn, Mr. John Irwin (""Irving"")",male,36.0,0,0,PC 17474,26.3875,E25,32
513,1,1,"McGough, Mr. James Robert",male,36.0,0,0,PC 17473,26.2875,E25,25
702,1,1,"Silverthorne, Mr. Spencer Victor",male,35.0,0,0,PC 17475,26.2875,E24,32
708,1,1,"Calderhead, Mr. Edward Pennington",male,42.0,0,0,PC 17476,26.2875,E24,33
315,0,2,"Hart, Mr. Benjamin",male,43.0,1,1,F.C.C. 13529,26.25,,18
638,0,2,"Collyer, Mr. Harvey",male,31.0,1,1,C.A. 31921,26.25,,19
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,20
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,,17
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F2,40
237,0,2,"Hold, Mr. Stephen",male,44.0,1,0,26707,26.0,,17
250,0,2,"Carter, Rev. Ernest Courtenay",male,54.0,1,0,244252,26.0,,29
398,0,2,"McKane, Mr. Peter David",male,46.0,0,0,28403,26.0,,23
544,1,2,"Beane, Mr. Edward",male,32.0,1,0,2908,26.0,,17
546,0,1,"Nicholson, Mr. Arthur Ernest",male,64.0,0,0,693,26.0,,28
552,0,2,"Sharp, Mr. Percival James R",male,27.0,0,0,244358,26.0,,27
583,0,2,"Downton, Mr. William James",male,54.0,0,0,28403,26.0,,26
595,0,2,"Chapman, Mr. John Henry",male,37.0,1,0,SC/AH 29037,26.0,,23
706,0,2,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,39.0,0,0,250655,26.0,,46
729,0,2,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25.0,1,0,236853,26.0,,31
792,0,2,"Gaskell, Mr. Alfred",male,16.0,0,0,239865,26.0,,19
663,0,1,"Colley, Mr. Edward Pomeroy",male,47.0,0,0,5727,25.5875,E58,26
566,0,3,"Davies, Mr. Alfred J",male,24.0,2,0,A/4 48871,24.15,,20
596,0,3,"Van Impe, Mr. Jean Baptiste",male,36.0,1,1,345773,24.15,,27
812,0,3,"Lester, Mr. James",male,39.0,0,0,A/4 48871,24.15,,17
509,0,3,"Olsen, Mr. Henry Margido",male,28.0,0,0,C 4001,22.525,,24
118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,,31
406,0,2,"Gale, Mr. Shadrach",male,34.0,1,0,28664,21.0,,18
477,0,2,"Renouf, Mr. Peter Henry",male,34.0,1,0,31027,21.0,,23
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,,23
549,0,3,"Goldsmith, Mr. Frank John",male,33.0,1,1,363291,20.525,,25
747,0,3,"Abbott, Mr. Rossmore Edward",male,16.0,1,1,C.A. 2673,20.25,,27
425,0,3,"Rosblom, Mr. Viktor Richard",male,18.0,1,1,370129,20.2125,,27
334,0,3,"Vander Planke, Mr. Leo Edmondus",male,16.0,2,0,345764,18.0,,31
354,0,3,"Arnold-Franchi, Mr. Josef",male,25.0,1,0,349237,17.8,,25
161,0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,,24
254,0,3,"Lobb, Mr. William Arthur",male,30.0,1,0,A/5. 3336,16.1,,24
625,0,3,"Bowen, Mr. David John ""Dai""",male,21.0,0,0,54636,16.1,,27
736,0,3,"Williams, Mr. Leslie",male,28.5,0,0,54636,16.1,,20
744,0,3,"McNamee, Mr. Neal",male,24.0,1,0,376566,16.1,,17
207,0,3,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278,15.85,,26
404,0,3,"Hakkarainen, Mr. Pekka Pietari",male,28.0,1,0,STON/O2. 3101279,15.85,,30
606,0,3,"Lindell, Mr. Edvard Bengtsson",male,36.0,1,0,349910,15.55,,29
587,0,2,"Jarvis, Mr. John Denzil",male,47.0,0,0,237565,15.0,,23
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,31
576,0,3,"Patchett, Mr. George",male,19.0,0,0,358585,14.5,,20
617,0,3,"Danbom, Mr. Ernst Gilbert",male,34.0,1,1,347080,14.4,,25
861,0,3,"Hansen, Mr. Claus Peter",male,41.0,2,0,350026,14.1083,,23
318,0,2,"Moraweck, Dr. Ernest",male,54.0,0,0,29011,14.0,,20
233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442,13.5,,25
563,0,2,"Norman, Mr. Robert Douglas",male,28.0,0,0,218629,13.5,,26
696,0,2,"Chapman, Mr. Charles Henry",male,52.0,0,0,248731,13.5,,26
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,21
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,,30
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,,33
179,0,2,"Hale, Mr. Reginald",male,30.0,0,0,250653,13.0,,18
192,0,2,"Carbines, Mr. William",male,19.0,0,0,28424,13.0,,21
214,0,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646,13.0,,27
222,0,2,"Bracken, Mr. James H",male,27.0,0,0,220367,13.0,,20
229,0,2,"Fahlstrom, Mr. Arne Jonas",male,18.0,0,0,236171,13.0,,25
289,1,2,"Hosono, Mr. Masabumi",male,42.0,0,0,237798,13.0,,20
343,0,2,"Collander, Mr. Erik Gustaf",male,28.0,0,0,248740,13.0,,26
344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,0,0,244361,13.0,,42
345,0,2,"Fox, Mr. Stanley Hubert",male,36.0,0,0,229236,13.0,,23
419,0,2,"Matthews, Mr. William John",male,30.0,0,0,28228,13.0,,26
464,0,2,"Milling, Mr. Jacob Christian",male,48.0,0,0,234360,13.0,,28
659,0,2,"Eitemiller, Mr. George Floyd",male,23.0,0,0,29751,13.0,,28
667,0,2,"Butler, Mr. Reginald Fenton",male,25.0,0,0,234686,13.0,,27
674,1,2,"Wilhelms, Mr. Charles",male,31.0,0,0,244270,13.0,,21
715,0,2,"Greenberg, Mr. Samuel",male,52.0,0,0,250647,13.0,,21
723,0,2,"Gillespie, Mr. William Henry",male,34.0,0,0,12233,13.0,,28
724,0,2,"Hodges, Mr. Henry Price",male,50.0,0,0,250643,13.0,,23
734,0,2,"Berriman, Mr. William John",male,23.0,0,0,28425,13.0,,26
735,0,2,"Troupiansky, Mr. Moses Aaron",male,23.0,0,0,233639,13.0,,28
796,0,2,"Otter, Mr. Richard",male,39.0,0,0,28213,13.0,,18
801,0,2,"Ponesell, Mr. Martin",male,34.0,0,0,250647,13.0,,20
809,0,2,"Meyer, Mr. August",male,39.0,0,0,248723,13.0,,17
865,0,2,"Gill, Mr. John William",male,24.0,0,0,233866,13.0,,22
887,0,2,"Montvila, Rev. Juozas",male,27.0,0,0,211536,13.0,,21
151,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,,26
240,0,2,"Hunt, Mr. George Henry",male,33.0,0,0,SCO/W 1585,12.275,,22
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,,26
530,0,2,"Hocking, Mr. Richard George",male,23.0,2,1,29104,11.5,,27
758,0,2,"Bailey, Mr. Percy Andrew",male,18.0,0,0,29108,11.5,,24
862,0,2,"Giles, Mr. Frederick Edward",male,21.0,1,0,28134,11.5,,27
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,,21
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,,26
220,0,2,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208,10.5,,18
227,1,2,"Mellors, Mr. William John",male,19.0,0,0,SW/PP 751,10.5,,25
235,0,2,"Leyson, Mr. Robert William Norman",male,24.0,0,0,C.A. 29566,10.5,,33
239,0,2,"Pengelly, Mr. Frederick William",male,19.0,0,0,28665,10.5,,31
243,0,2,"Coleridge, Mr. Reginald Charles",male,29.0,0,0,W./C. 14263,10.5,,31
266,0,2,"Reeves, Mr. David",male,36.0,0,0,C.A. 17248,10.5,,17
399,0,2,"Pain, Dr. Alfred",male,23.0,0,0,244278,10.5,,16
440,0,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0,0,0,C.A. 18723,10.5,,38
571,1,2,"Harris, Mr. George",male,62.0,0,0,S.W./PP 752,10.5,,18
620,0,2,"Gavey, Mr. Lawrence",male,26.0,0,0,31028,10.5,,19
673,0,2,"Mitchell, Mr. Henry Michael",male,70.0,0,0,C.A. 24580,10.5,,27
813,0,2,"Slemen, Mr. Richard James",male,35.0,0,0,28206,10.5,,25
842,0,2,"Mudd, Mr. Thomas Charles",male,16.0,0,0,S.O./P.P. 3,10.5,,24
884,0,2,"Banfield, Mr. Frederick James",male,28.0,0,0,C.A./SOTON 34068,10.5,,29
688,0,3,"Dakic, Mr. Branko",male,19.0,0,0,349228,10.1708,,17
877,0,3,"Gustafsson, Mr. Alfred Ossian",male,20.0,0,0,7534,9.8458,,29
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,27
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770,9.5,,30
283,0,3,"de Pelsmaeker, Mr. Alfons",male,16.0,0,0,345778,9.5,,25
287,1,3,"de Mulder, Mr. Theodore",male,30.0,0,0,345774,9.5,,23
356,0,3,"Vanden Steen, Mr. Leo Peter",male,28.0,0,0,345783,9.5,,27
442,0,3,"Hampe, Mr. Leon",male,20.0,0,0,345769,9.5,,15
753,0,3,"Vande Velde, Mr. Johannes Joseph",male,33.0,0,0,345780,9.5,,32
771,0,3,"Lievens, Mr. Rene Aime",male,24.0,0,0,345781,9.5,,22
714,0,3,"Larsson, Mr. August Viktor",male,29.0,0,0,7545,9.4833,,26
226,0,3,"Berglund, Mr. Karl Ivar Sven",male,22.0,0,0,PP 4348,9.35,,28
351,0,3,"Odahl, Mr. Nils Martin",male,23.0,0,0,7267,9.225,,22
683,0,3,"Olsvigen, Mr. Thor Anderson",male,20.0,0,0,6563,9.225,,27
139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,,19
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,,20
874,0,3,"Vander Cruyssen, Mr. Victor",male,47.0,0,0,345765,9.0,,27
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,,17
164,0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,,15
350,0,3,"Dimic, Mr. Jovan",male,42.0,0,0,315088,8.6625,,16
472,0,3,"Cacic, Mr. Luka",male,38.0,0,0,315089,8.6625,,15
501,0,3,"Calic, Mr. Petar",male,17.0,0,0,315086,8.6625,,16
726,0,3,"Oreskovic, Mr. Luka",male,20.0,0,0,315094,8.6625,,19
822,1,3,"Lulic, Mr. Nikola",male,27.0,0,0,315098,8.6625,,17
837,0,3,"Pasic, Mr. Jakob",male,21.0,0,0,315097,8.6625,,16
845,0,3,"Culumovic, Mr. Jeso",male,17.0,0,0,315090,8.6625,,19
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,,26
653,0,3,"Kalvik, Mr. Johannes Halvorsen",male,21.0,0,0,8475,8.4333,,30
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,8.4042,,32
770,0,3,"Gronnestad, Mr. Daniel Danielsen",male,32.0,0,0,8471,8.3625,,32
835,0,3,"Allum, Mr. Owen George",male,18.0,0,0,2223,8.3,,22
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,,24
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,,24
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,30
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,24
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,,22
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,20
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,,22
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,16
158,0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,,15
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,,24
221,1,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089,8.05,,30
223,0,3,"Green, Mr. George Henry",male,51.0,0,0,21440,8.05,,23
284,1,3,"Dorking, Mr. Edward Arthur",male,19.0,0,0,A/5. 10482,8.05,,26
339,1,3,"Dahl, Mr. Karl Edwart",male,45.0,0,0,7598,8.05,,21
373,0,3,"Beavan, Mr. William Thomas",male,19.0,0,0,323951,8.05,,26
402,0,3,"Adams, Mr. John",male,26.0,0,0,341826,8.05,,15
430,1,3,"Pickard, Mr. Berk (Berk Trembisky)",male,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,34
462,0,3,"Morley, Mr. William",male,34.0,0,0,364506,8.05,,19
483,0,3,"Rouse, Mr. Richard Henry",male,50.0,0,0,A/5 3594,8.05,,24
489,0,3,"Somerton, Mr. Francis William",male,30.0,0,0,A.5. 18509,8.05,,29
495,0,3,"Stanley, Mr. Edward Roland",male,21.0,0,0,A/4 45380,8.05,,26
575,0,3,"Rush, Mr. Alfred George John",male,16.0,0,0,A/4. 20589,8.05,,28
589,0,3,"Gilinski, Mr. Eliezer",male,22.0,0,0,14973,8.05,,21
604,0,3,"Torber, Mr. Ernst William",male,44.0,0,0,364511,8.05,,25
615,0,3,"Brocklebank, Mr. William Alfred",male,35.0,0,0,364512,8.05,,31
669,0,3,"Cook, Mr. Jacob",male,43.0,0,0,A/5 3536,8.05,,15
677,0,3,"Sawyer, Mr. Frederick Charles",male,24.5,0,0,342826,8.05,,29
697,0,3,"Kelly, Mr. James",male,44.0,0,0,363592,8.05,,16
759,0,3,"Theobald, Mr. Thomas Leonard",male,34.0,0,0,363294,8.05,,28
815,0,3,"Tomlin, Mr. Ernest Portage",male,30.5,0,0,364499,8.05,,26
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,,30
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,,21
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,7.925,,25
383,0,3,"Tikkanen, Mr. Juho",male,32.0,0,0,STON/O 2. 3101293,7.925,,18
393,0,3,"Gustafsson, Mr. Johan Birger",male,28.0,2,0,3101277,7.925,,28
401,1,3,"Niskanen, Mr. Juha",male,39.0,0,0,STON/O 2. 3101289,7.925,,18
415,1,3,"Sundman, Mr. Johan Julian",male,44.0,0,0,STON/O 2. 3101269,7.925,,25
529,0,3,"Salonen, Mr. Johan Werner",male,39.0,0,0,3101296,7.925,,25
580,1,3,"Jussila, Mr. Eiriik",male,32.0,0,0,STON/O 2. 3101286,7.925,,19
637,0,3,"Leinonen, Mr. Antti Gustaf",male,32.0,0,0,STON/O 2. 3101292,7.925,,26
665,1,3,"Lindqvist, Mr. Eino William",male,20.0,1,0,STON/O 2. 3101285,7.925,,27
745,1,3,"Stranden, Mr. Juho",male,31.0,0,0,STON/O 2. 3101288,7.925,,18
841,0,3,"Alhomaki, Mr. Ilmari Rudolf",male,20.0,0,0,SOTON/O2 3101287,7.925,,27
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,,21
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,,15
190,0,3,"Turcin, Mr. Stjepan",male,36.0,0,0,349247,7.8958,,19
288,0,3,"Naidenoff, Mr. Penko",male,22.0,0,0,349206,7.8958,,20
295,0,3,"Mineff, Mr. Ivan",male,24.0,0,0,349233,7.8958,,16
314,0,3,"Hendekovic, Mr. Ignjac",male,28.0,0,0,349243,7.8958,,22
322,0,3,"Danoff, Mr. Yoto",male,27.0,0,0,349219,7.8958,,16
520,0,3,"Pavlovic, Mr. Stefo",male,32.0,0,0,349242,7.8958,,19
522,0,3,"Vovk, Mr. Janko",male,22.0,0,0,349252,7.8958,,15
562,0,3,"Sivic, Mr. Husein",male,40.0,0,0,349251,7.8958,,17
567,0,3,"Stoytcheff, Mr. Ilia",male,19.0,0,0,349205,7.8958,,20
607,0,3,"Karaic, Mr. Milan",male,30.0,0,0,349246,7.8958,,17
629,0,3,"Bostandyeff, Mr. Guentcho",male,26.0,0,0,349224,7.8958,,25
647,0,3,"Cor, Mr. Liudevit",male,19.0,0,0,349231,7.8958,,17
754,0,3,"Jonkoff, Mr. Lalio",male,23.0,0,0,349204,7.8958,,18
795,0,3,"Dantcheff, Mr. Ristiu",male,25.0,0,0,349203,7.8958,,21
871,0,3,"Balkic, Mr. Cerin",male,26.0,0,0,349248,7.8958,,17
878,0,3,"Petroff, Mr. Nedelio",male,19.0,0,0,349212,7.8958,,20
882,0,3,"Markun, Mr. Johann",male,33.0,0,0,349257,7.8958,,18
811,0,3,"Alexander, Mr. William",male,26.0,0,0,3474,7.8875,,22
423,0,3,"Zimmerman, Mr. Leo",male,29.0,0,0,315082,7.875,,18
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,,26
176,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,,22
282,0,3,"Olsson, Mr. Nils Johan Goransson",male,28.0,0,0,347464,7.8542,,32
570,1,3,"Jonsson, Mr. Carl",male,32.0,0,0,350417,7.8542,,17
624,0,3,"Hansen, Mr. Henry Damsgaard",male,21.0,0,0,350029,7.8542,,27
641,0,3,"Jensen, Mr. Hans Peder",male,20.0,0,0,350050,7.8542,,22
705,0,3,"Hansen, Mr. Henrik Juul",male,26.0,1,0,350025,7.8542,,23
772,0,3,"Jensen, Mr. Niels Peder",male,48.0,0,0,350047,7.8542,,23
834,0,3,"Augustsson, Mr. Albert",male,23.0,0,0,347468,7.8542,,22
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,,28
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,,44
392,1,3,"Jansson, Mr. Carl Olof",male,21.0,0,0,350034,7.7958,,22
396,0,3,"Johansson, Mr. Erik",male,22.0,0,0,350052,7.7958,,19
500,0,3,"Svensson, Mr. Olof",male,24.0,0,0,350035,7.7958,,18
689,0,3,"Fischer, Mr. Eberhard Thelander",male,18.0,0,0,350036,7.7958,,31
757,0,3,"Carlsson, Mr. August Sigfrid",male,28.0,0,0,350042,7.7958,,28
163,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,,26
232,0,3,"Larsson, Mr. Bengt Edvin",male,29.0,0,0,347067,7.775,,24
268,1,3,"Persson, Mr. Ernst Ulrik",male,25.0,1,0,347083,7.775,,24
380,0,3,"Gustafsson, Mr. Karl Gideon",male,19.0,0,0,347069,7.775,,27
409,0,3,"Birkeland, Mr. Hans Martin Monsen",male,21.0,0,0,312992,7.775,,33
443,0,3,"Petterson, Mr. Johan Emil",male,25.0,1,0,347076,7.775,,25
676,0,3,"Edvardsson, Mr. Gustaf Hjalmar",male,18.0,0,0,349912,7.775,,30
720,0,3,"Johnson, Mr. Malkolm Joackim",male,33.0,0,0,347062,7.775,,28
765,0,3,"Eklund, Mr. Hans Linus",male,16.0,0,0,347074,7.775,,22
806,0,3,"Johansson, Mr. Karl Johan",male,31.0,0,0,347063,7.775,,25
852,0,3,"Svensson, Mr. Johan",male,74.0,0,0,347060,7.775,,19
407,0,3,"Widegren, Mr. Carl/Charles Peter",male,51.0,0,0,347064,7.75,,32
776,0,3,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",male,18.0,0,0,347078,7.75,,39
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,23
700,0,3,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42.0,0,0,348121,7.65,F G63,40
716,0,3,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19.0,0,0,348124,7.65,F G73,42
846,0,3,"Abbing, Mr. Anthony",male,42.0,0,0,C.A. 5547,7.55,,19
479,0,3,"Karlsson, Mr. Nils August",male,22.0,0,0,350060,7.5208,,25
515,0,3,"Coleff, Mr. Satio",male,24.0,0,0,349209,7.4958,,17
664,0,3,"Coleff, Mr. Peju",male,36.0,0,0,349210,7.4958,,16
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,,23
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,,17
213,0,3,"Perkin, Mr. John Henry",male,22.0,0,0,A/5 21174,7.25,,22
